B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Elevation,VH_Asc,VH_Desc,VV_Asc,VV_Desc,h_canopy
2359,1560,600,927,843,1458.5,2894,3386.5,3395.5,3574,19.203289,-13.73811088,-14.27769535,-7.366683766,-6.73454807,11.226225
2440.5,1830.5,823.5,1139,1078.5,1504,2760.5,3283.5,3296.5,3471.5,-18.057896,-15.11438584,-16.253501,-7.840990992,-8.342697327,4.30197525
2257,1384.5,576,888,745.5,1381.5,2888.5,3395.5,3430.5,3609,1.2502761,-13.62036153,-14.1814081,-7.107442069,-5.019913912,2.676559
2271,1484,624.5,914.5,850,1409,2672,3131.5,3213.5,3356.5,-9.281751,-14.12756081,-14.25215602,-5.957681601,-5.128448072,4.4694204
2568.5,1596,539.5,836,737.5,1352.5,2936.5,3439.5,3539.5,3731.5,1121.3632,-13.9995967,-16.8599757,-7.73270914,-10.45279856,11.5043335
2051.5,1264.5,597,873.5,744.5,1330.5,2685,3123.5,3154.5,3308,-14.57164,-14.55267998,-14.38750434,-7.515542067,-5.5325718,9.57135
1994.5,1196.5,464.5,699.5,598,1031.5,2125,2510,2597.5,2676,509.4937,-13.82770535,-15.03305522,-7.851659379,-8.518058039,13.7325135
2234.5,1458,665,970,897.5,1467.5,2641.5,3072,3075,3275,-22.455433,-14.47122827,-14.88331615,-7.571072305,-7.511473841,4.2049427
2176,1474,659,935,907,1384,2519,3016,3081,3152,306.40472,-16.21413101,-16.50584763,-8.933718151,-9.288282368,11.782196
2106,1530,690,980,965,1445,2292,2691,2790,2849,288.82416,-16.70259524,-17.09693167,-9.649510815,-9.946017041,3.1569214
1983,922,322,550,315,909,2749,3381,3440,3650,342.35593,-13.43672489,-15.91591584,-7.152180608,-9.253644085,5.757202
2676,1975,879,1104,1179,1529,2089,2344,2394,2557,-25.779993,-19.12226318,-20.01670769,-12.93272955,-13.39041274,15.353777
2709,2213,951.5,1251,1525.5,1812,2209.5,2431.5,2447,2557,215.86197,-16.48768312,-17.33037361,-9.403642216,-10.09808567,12.155304
2293.5,1641.5,644,875.5,981,1317,2283.5,2634,2627,2797,227.22188,-15.75163204,-17.52538153,-9.180012986,-10.12923475,19.942871
1531.5,777,329,500,337,743.5,2021.5,2389.5,2426.5,2547.5,294.8346,-14.13308937,-14.45092203,-8.600854665,-8.640390648,17.43808
2471.5,1714,788,1110.5,1107,1632,2793.5,3188,3190,3358,91.5969,-15.41713933,-16.35143171,-7.359913623,-9.911696249,5.6802597
2106.5,1106,424.5,686.5,479.5,1132.5,2984.5,3631.5,3675,3869.5,192.58755,-14.32440002,-11.81556572,-6.840974361,-5.121983306,18.210205
2075.5,1012.5,339.5,578,358.5,939.5,3092.5,3895.5,3954.5,4176,471.45648,-14.3791845,-15.90758778,-7.748802389,-8.962110688,24.102905
1928,1092,497.5,778,619,1187.5,2628.5,3172.5,3203,3376,132.02586,-16.14061157,-12.85825446,-9.741743314,-5.520809903,10.370941
2146,1159.5,356,632.5,419.5,1115.5,3229,4017,4104,4242.5,660.709,-14.4963168,-11.66486205,-7.733757531,-4.616989441,18.011353
2021.5,1006.5,390,679.5,390.5,1130,3185.5,3911.5,3931,4150,254.89009,-16.91912473,-11.37836739,-10.92326772,-4.614407828,18.119217
1916.5,1039.5,437.5,697.5,494.5,1097,2806,3369,3410,3583.5,152.56914,-15.51444192,-12.48698937,-8.769459929,-5.422656269,12.042236
2221.5,1177.5,420.5,723,472,1215.5,3014,3584,3598.5,3782,162.65587,-16.0984301,-12.73907925,-9.64581506,-5.753844701,8.061663333
2100,1103,451.5,747,518,1165,2943,3502,3582,3719.5,119.23415,-14.6856172,-14.50106818,-7.697457469,-7.834795738,8.044509975
2166.5,1354.5,556.5,844.5,739,1320.5,2792,3303.5,3320,3491,70.51224,-13.80863136,-14.36477762,-7.572780085,-6.596588663,12.013489
2171,1117.5,411.5,665,448.5,1055,3186.5,3966.5,4052.5,4229.5,294.98718,-12.83558471,-13.78364281,-6.050809885,-7.033080588,14.485336
1742,1041,643,918,822,1291,2317,2696,2743,2799,54.954876,-15.98581828,-15.99481901,-9.007355166,-8.618461308,3.99824145
2073,1101.5,429.5,674.5,454.5,1060,3139,3827,3797.5,4011.5,217.38368,-12.41456417,-12.77913862,-5.875952452,-6.360029503,14.770264
2395,1516,651,952,826,1400,2954,3443,3471,3608,55.285706,-13.56818286,-15.08630867,-7.252260445,-7.385926329,12.403278
1998,1220,499,767,694,1193,2516,2940,2983,3099,98.63819,-15.30646274,-14.31556158,-8.507000445,-7.640900508,9.221436
1693,1024,467,709,583,1066,2273,2615,2630,2792,106.090126,-14.67648029,-14.19436675,-8.173181986,-7.401232845,18.86039
1753,1174,675,979,1002,1437,2214,2488,2498,2528,61.760403,-16.58187979,-16.49024201,-9.600337977,-8.537732192,5.0801887
1433,810,492,778,726,1144,2132,2476,2477,2518,64.090935,-16.22544493,-15.80685436,-9.607994327,-8.908817204,35.790154
2152,1135.5,496.5,767,488,1215.5,3353,4166,4267,4440,207.199,-11.90499171,-16.59537073,-3.944213372,-9.810207776,12.122032
2059,1246,677,960,874,1329,2533,2911,2951,3136,16.96537,-16.21318348,-16.74769071,-9.121938014,-9.427696599,20.037302
1964,994,354,642,418,1028,2827,3465,3523,3708,293.0879,-13.84905798,-13.24257344,-7.334619862,-6.167677022,12.138123
1940.5,836.5,316,503.5,288,900,3261,4267.5,4367.5,4560.5,337.897,-13.06000873,-11.13873087,-5.76165581,-3.988372801,17.205994
2154.5,1144.5,400.5,631,378,1093.5,3500.5,4364,4457.5,4619,452.68994,-9.828883766,-15.3742867,-2.7277557,-8.79728394,5.63678
1651.5,828.5,334.5,562.5,419.5,895,2310.5,2781.5,2761.5,2960,98.28615,-15.14228074,-14.13610757,-9.286273801,-7.811337607,9.052032
2143.5,1111.5,377.5,664,434,1074,3190.5,3933.5,3951.5,4228.5,155.72337,-14.77500058,-13.44556717,-8.553200665,-6.684996325,10.377747
1852.5,1043,432,723,598,1098.5,2206,2600.5,2637.5,2788,78.89878,-16.00597236,-14.82255828,-9.561386836,-8.459454584,16.814735
1744,1027,555,890,814,1334,2430,2792,2812,2865,55.726418,-15.77385078,-15.87492626,-9.185598611,-9.298684064,7.380509733
1712,858,314,533.5,352,866.5,2338,2757.5,2802,2996,78.401985,-14.95991065,-13.95785743,-8.341636568,-7.312816882,21.208553
1934,969,358.5,593,397,924.5,2951,3660,3748.5,3926,217.8234,-14.52671683,-13.69878848,-7.8838401,-6.974004949,7.362549
1590,921,539,860,801,1299,2331,2670,2790,2881,50.240772,-15.72002573,-15.84148102,-9.305308545,-7.71812907,16.8075235
1791.5,1115,590,900,932.5,1354,2259.5,2533,2586,2678,45.90763,-17.13987276,-16.66998714,-9.256127738,-8.946944291,7.7988205
2184,1185.5,435.5,712.5,509,1154,3104.5,3672.5,3756.5,3934.5,98.26179,-14.5291036,-14.15098305,-8.182584784,-7.557407336,12.0452728
2830.5,1855.5,667.5,1025,977.5,1577,2975,3454.5,3574,3708,1054.8435,-10.02893295,-16.77303499,-0.479106351,-10.06459848,9.559998
1746,960,503,796,681,1187,2438,2830,2820,2946,53.78131,-15.08870065,-15.64024774,-7.692065661,-8.383767366,5.7961235
2152,1091,365,660.5,421.5,1115.5,3343.5,4036,4073,4361,269.55084,-14.54214005,-14.3149128,-8.483737524,-7.662661389,19.889435
1974.5,996.5,374,605,380,1046,3106.5,3789.5,3843,4087.5,81.15178,-14.74744811,-13.74891895,-8.441907613,-7.069087543,5.3689613
1742,1014,522,815,753,1248,2332,2651,2654,2774,53.06028,-14.06623983,-15.79691502,-6.002092724,-8.884571958,2.8764877
1772,986,525,832,749,1243,2425,2826,2862,2951,49.360195,-15.63236357,-15.72560603,-8.727332137,-8.784440377,15.155354
1898,820,288,527,281,887,3026,3774,3779,4067,114.392,-14.89890432,-13.98741121,-8.406320619,-7.164167672,34.85334
1993,1259,566,850,787,1289,2495,2872,2882,3005,56.655136,-14.87999078,-14.98317479,-8.608452759,-7.612287269,2.9239636
1686,1018,576,874,775,1298,2219,2534,2550,2671,52.44058,-15.66656932,-15.15364066,-8.415057064,-8.041235453,16.18546
